gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TMEM92-AS1	139.395592074291	1.17144613275902	0.1924603136034	6.08668930662246	1.15269346635257e-09	9.23415373985764e-09
LINC01504	149.714629299581	-1.02918921446355	0.169741791876482	-6.06326351976109	1.33386848561025e-09	1.06020545038978e-08
LOC105377650	53.4562115666568	1.97726767512756	0.326361976683634	6.05851115139026	1.37387225012124e-09	1.09010929447445e-08
LOC101448202	57.9260537256323	1.61124787136197	0.265984376161892	6.05767862989548	1.3809994784515e-09	1.0952898851833e-08
AGT	90.2876360432668	1.31063999649966	0.216737304452675	6.04713618548226	1.47443122687985e-09	1.16636108241256e-08
SHC4	50.7704447224569	1.77253960458376	0.293468611921965	6.03996315985945	1.54149418611331e-09	1.21835921580893e-08
LINC03034	50.7512309382866	-1.82376044418794	0.3032231810764	-6.01458119960963	1.80352348670929e-09	1.41689942565883e-08
MMP3	29.7951500195508	6.48698211644712	1.08413511115356	5.98355504743754	2.18319205732441e-09	1.70712195327847e-08
CKMT2	103.483368331513	1.22347849117007	0.204775079810534	5.97474308056466	2.30453075853365e-09	1.79969602477726e-08
SLC22A15	151.384521638701	1.08162890088603	0.181084647596334	5.9730568838566	2.32848663407741e-09	1.81762897399231e-08
GRID1	62.9620022279655	1.56191640766674	0.262780791885294	5.94379975971963	2.78489765812955e-09	2.16284269776617e-08
SHE	94.3892203949544	-1.24011768799597	0.208792879589881	-5.93946350293103	2.85956326899802e-09	2.21894839598139e-08
PERM1	71.9396820334724	1.52449722732934	0.256675903580373	5.93938584052545	2.86091814209969e-09	2.21905946362862e-08
RASSF5	123.48801550154	-1.16369927315547	0.196102954096789	-5.9341241365549	2.95418259280592e-09	2.28946025484785e-08
PARP8	36.3460635016681	2.13745089378755	0.360476369151803	5.92951737395978	3.0382636525852e-09	2.34568812267255e-08
TMEM130	69.2194420151546	1.66466517146648	0.28210359672851	5.90090020393649	3.61523543638492e-09	2.77359893366222e-08
TTLL6	76.9984794056561	-1.38377305731403	0.235558065998986	-5.87444565502581	4.24260625709817e-09	3.23458985787838e-08
OTULINL	128.723818152619	1.1813845534854	0.201241876158627	5.87047077892565	4.345593729253e-09	3.30760008162137e-08
EPHB3	143.562852443773	-1.15037826820856	0.196465559729292	-5.85536859383219	4.75953223858675e-09	3.61065923302565e-08
GDF6	20.4628927418985	3.51807969314764	0.60390642729439	5.82553775575675	5.69289867318686e-09	4.29736411385289e-08
LINC00672	47.8969075664318	-1.99095584821813	0.342072021154171	-5.82028264545147	5.87481953019092e-09	4.42374876876589e-08
FAM83E	22.9089293496516	-2.899736425994	0.499123480201905	-5.80965741147061	6.2600810419109e-09	4.69647128719846e-08
UBE2QL1	28.0003378363292	2.61061980826414	0.450895976981372	5.78984941436279	7.04495559524447e-09	5.26803886548436e-08
PLPPR1	38.6365615248451	-2.06568465886028	0.357518859444556	-5.77783410382755	7.56683610686969e-09	5.64675915342725e-08
F7	105.723644891314	-1.1510048304476	0.19966557162751	-5.76466348737818	8.18209304782968e-09	6.09347986925193e-08
NRIP3	117.715515461454	1.11935271185759	0.194923860114051	5.74251254414234	9.3281966248408e-09	6.90490156793491e-08
KCNJ18	25.9339005953549	2.62871202344627	0.457991832859476	5.73964825318801	9.48733978439045e-09	7.01702962324485e-08
ZG16B	38.9734716691987	-2.00469223449418	0.349360542247071	-5.73817587298236	9.57017073688262e-09	7.07543547454709e-08
MUC16	27.0315417545174	-2.64550244401013	0.465472595347028	-5.6834762571528	1.31984054911027e-08	9.66036769618563e-08
LOC101928032	152.616921691497	-1.02218427979086	0.180515483349405	-5.662585063755	1.49109417488002e-08	1.0827282959785e-07
TMEM45B	31.1743327923463	-2.36061941645755	0.416969989361916	-5.66136527012405	1.50173386767374e-08	1.09002189134797e-07
CDH22	17.7091052911902	4.36261200943317	0.774106935950422	5.63567099948136	1.74378012495644e-08	1.26121032497343e-07
LOC102724852	55.2563664493348	-1.53065811898747	0.271621552627959	-5.63526017791387	1.74794238041882e-08	1.26334695711163e-07
WNT7A	16.8877807027392	4.29032993988704	0.761418286583428	5.63465576738148	1.75408353372925e-08	1.26716101590469e-07
FIGNL2	34.9837192310056	2.0691690636139	0.368336270539545	5.61760876978785	1.93618289183958e-08	1.39212082050484e-07
LOC105377297	38.2231962691997	2.10143351585145	0.37547851619874	5.59668110209311	2.18494069310655e-08	1.56239043002188e-07
PDE4C	43.8653764376625	1.75729456328389	0.314035909942503	5.59583954461016	2.19556691303511e-08	1.56937614669836e-07
SYT9	51.4354756799129	1.64225723310996	0.294772705368658	5.57126627804995	2.52894460566629e-08	1.7978479256043e-07
KRT4	41.6511787485692	-1.97217270988259	0.354477806225507	-5.56359996379565	2.6426536596267e-08	1.87359335922353e-07
ADAMTSL3	45.5395911825891	1.7674013168459	0.317859754746694	5.56031800331048	2.69283533420018e-08	1.90695643755638e-07
IL1R2	122.560027659477	-1.01194079908839	0.182011565239302	-5.55976098418761	2.7014435277175e-08	1.91083566330979e-07
LOC107985020	98.757676763769	1.18149698050987	0.212720252396721	5.55422893306084	2.78839843379669e-08	1.97005943356939e-07
SDR16C5	63.2295308356579	-1.39469104730703	0.253187496233367	-5.50853050824249	3.61841537224341e-08	2.53109399205094e-07
HILPDA-AS1	109.205352719624	-1.08396047568982	0.196843852769735	-5.50670219281789	3.65617987400407e-08	2.55263522808374e-07
TRHDE	11.9990108463686	7.04952291896894	1.28184278726283	5.49952224174233	3.80821670848464e-08	2.65271481865649e-07
